month,day,year,PRICE,QUANTITY,SELL_ID,SELL_CATEGORY,SKU,year_mod
1,1,2012,15.5,46,1070,0,1070_0,2012
1,1,2012,12.73,22,2051,2,2051_2,2012
1,1,2012,12.75,18,2052,2,2052_2,2012
1,1,2012,12.6,30,2053,2,2053_2,2012
1,2,2012,15.5,70,1070,0,1070_0,2012
1,2,2012,12.73,22,2051,2,2051_2,2012
1,2,2012,12.75,16,2052,2,2052_2,2012
1,2,2012,12.6,34,2053,2,2053_2,2012
1,3,2012,15.5,62,1070,0,1070_0,2012
1,3,2012,12.73,26,2051,2,2051_2,2012
1,3,2012,12.75,12,2052,2,2052_2,2012
1,3,2012,12.6,28,2053,2,2053_2,2012
1,4,2012,15.5,88,1070,0,1070_0,2012
1,4,2012,12.73,26,2051,2,2051_2,2012
1,4,2012,12.75,24,2052,2,2052_2,2012
1,4,2012,12.6,42,2053,2,2053_2,2012
1,5,2012,15.5,104,1070,0,1070_0,2012
1,5,2012,12.73,36,2051,2,2051_2,2012
1,5,2012,12.75,24,2052,2,2052_2,2012
1,5,2012,12.6,58,2053,2,2053_2,2012
1,6,2012,15.5,100,1070,0,1070_0,2012
1,6,2012,12.73,38,2051,2,2051_2,2012
1,6,2012,12.75,20,2052,2,2052_2,2012
1,6,2012,12.6,54,2053,2,2053_2,2012
1,7,2012,15.5,70,1070,0,1070_0,2012
1,7,2012,12.73,24,2051,2,2051_2,2012
1,7,2012,12.75,18,2052,2,2052_2,2012
1,7,2012,12.6,42,2053,2,2053_2,2012
1,8,2012,15.5,70,1070,0,1070_0,2012
1,8,2012,12.73,26,2051,2,2051_2,2012
1,8,2012,12.75,18,2052,2,2052_2,2012
1,8,2012,12.6,42,2053,2,2053_2,2012
1,9,2012,15.5,106,1070,0,1070_0,2012
1,9,2012,12.73,34,2051,2,2051_2,2012
1,9,2012,12.75,24,2052,2,2052_2,2012
1,9,2012,12.6,54,2053,2,2053_2,2012
1,10,2012,15.5,108,1070,0,1070_0,2012
1,10,2012,12.73,40,2051,2,2051_2,2012
1,10,2012,12.75,28,2052,2,2052_2,2012
1,10,2012,12.6,58,2053,2,2053_2,2012
1,11,2012,15.5,104,1070,0,1070_0,2012
1,11,2012,12.73,32,2051,2,2051_2,2012
1,11,2012,12.75,26,2052,2,2052_2,2012
1,11,2012,12.6,52,2053,2,2053_2,2012
1,12,2012,15.5,102,1070,0,1070_0,2012
1,12,2012,12.73,32,2051,2,2051_2,2012
1,12,2012,12.75,26,2052,2,2052_2,2012
1,12,2012,12.6,60,2053,2,2053_2,2012
1,13,12,15.5,100,1070,0,1070_0,2012
1,13,12,12.73,40,2051,2,2051_2,2012
1,13,12,12.75,26,2052,2,2052_2,2012
1,13,12,12.6,58,2053,2,2053_2,2012
1,14,12,15.5,74,1070,0,1070_0,2012
1,14,12,12.73,24,2051,2,2051_2,2012
1,14,12,12.75,20,2052,2,2052_2,2012
1,14,12,12.6,42,2053,2,2053_2,2012
1,15,12,15.5,60,1070,0,1070_0,2012
1,15,12,12.73,22,2051,2,2051_2,2012
1,15,12,12.75,18,2052,2,2052_2,2012
1,15,12,12.6,32,2053,2,2053_2,2012
1,16,12,15.5,104,1070,0,1070_0,2012
1,16,12,12.73,40,2051,2,2051_2,2012
1,16,12,12.75,28,2052,2,2052_2,2012
1,16,12,12.6,56,2053,2,2053_2,2012
1,17,12,15.5,106,1070,0,1070_0,2012
1,17,12,12.73,38,2051,2,2051_2,2012
1,17,12,12.75,22,2052,2,2052_2,2012
1,17,12,12.6,54,2053,2,2053_2,2012
1,18,12,15.5,108,1070,0,1070_0,2012
1,18,12,12.73,40,2051,2,2051_2,2012
1,18,12,12.75,24,2052,2,2052_2,2012
1,18,12,12.6,58,2053,2,2053_2,2012
1,19,12,15.5,100,1070,0,1070_0,2012
1,19,12,12.73,32,2051,2,2051_2,2012
1,19,12,12.75,24,2052,2,2052_2,2012
1,19,12,12.6,54,2053,2,2053_2,2012
1,20,12,15.5,100,1070,0,1070_0,2012
1,20,12,12.73,36,2051,2,2051_2,2012
1,20,12,12.75,22,2052,2,2052_2,2012
1,20,12,12.6,58,2053,2,2053_2,2012
1,21,12,15.5,70,1070,0,1070_0,2012
1,21,12,12.73,22,2051,2,2051_2,2012
1,21,12,12.75,22,2052,2,2052_2,2012
1,21,12,12.6,40,2053,2,2053_2,2012
1,22,12,15.5,74,1070,0,1070_0,2012
1,22,12,12.73,30,2051,2,2051_2,2012
1,22,12,12.75,16,2052,2,2052_2,2012
1,22,12,12.6,34,2053,2,2053_2,2012
1,23,12,15.5,108,1070,0,1070_0,2012
1,23,12,12.73,38,2051,2,2051_2,2012
1,23,12,12.75,20,2052,2,2052_2,2012
1,23,12,12.6,52,2053,2,2053_2,2012
1,24,12,15.5,100,1070,0,1070_0,2012
1,24,12,12.73,36,2051,2,2051_2,2012
1,24,12,12.75,26,2052,2,2052_2,2012
1,24,12,12.6,56,2053,2,2053_2,2012
1,25,12,15.5,100,1070,0,1070_0,2012
1,25,12,12.73,38,2051,2,2051_2,2012
1,25,12,12.75,26,2052,2,2052_2,2012
1,25,12,12.6,60,2053,2,2053_2,2012
1,26,12,15.5,106,1070,0,1070_0,2012
1,26,12,12.73,38,2051,2,2051_2,2012
1,26,12,12.75,26,2052,2,2052_2,2012
1,26,12,12.6,52,2053,2,2053_2,2012
1,27,12,15.5,86,1070,0,1070_0,2012
1,27,12,12.73,28,2051,2,2051_2,2012
1,27,12,12.75,18,2052,2,2052_2,2012
1,27,12,12.6,46,2053,2,2053_2,2012
1,28,12,15.5,62,1070,0,1070_0,2012
1,28,12,12.73,24,2051,2,2051_2,2012
1,28,12,12.75,14,2052,2,2052_2,2012
1,28,12,12.6,34,2053,2,2053_2,2012
1,29,12,15.5,70,1070,0,1070_0,2012
1,29,12,12.73,22,2051,2,2051_2,2012
1,29,12,12.75,14,2052,2,2052_2,2012
1,29,12,12.6,38,2053,2,2053_2,2012
1,30,12,15.5,106,1070,0,1070_0,2012
1,30,12,12.73,34,2051,2,2051_2,2012
1,30,12,12.75,22,2052,2,2052_2,2012
1,30,12,12.6,52,2053,2,2053_2,2012
1,31,12,15.5,84,1070,0,1070_0,2012
1,31,12,12.73,30,2051,2,2051_2,2012
1,31,12,12.75,16,2052,2,2052_2,2012
1,31,12,12.6,42,2053,2,2053_2,2012
2,1,2012,15.5,90,1070,0,1070_0,2012
2,1,2012,12.73,28,2051,2,2051_2,2012
2,1,2012,12.75,20,2052,2,2052_2,2012
2,1,2012,12.6,48,2053,2,2053_2,2012
2,2,2012,15.5,64,1070,0,1070_0,2012
2,2,2012,12.73,18,2051,2,2051_2,2012
2,2,2012,12.75,18,2052,2,2052_2,2012
2,2,2012,12.6,34,2053,2,2053_2,2012
2,3,2012,15.5,62,1070,0,1070_0,2012
2,3,2012,12.73,20,2051,2,2051_2,2012
2,3,2012,12.75,16,2052,2,2052_2,2012
2,3,2012,12.6,32,2053,2,2053_2,2012
2,4,2012,15.5,42,1070,0,1070_0,2012
2,4,2012,12.73,12,2051,2,2051_2,2012
2,4,2012,12.75,16,2052,2,2052_2,2012
2,4,2012,12.6,20,2053,2,2053_2,2012
2,5,2012,15.5,38,1070,0,1070_0,2012
2,5,2012,12.73,12,2051,2,2051_2,2012
2,5,2012,12.75,8,2052,2,2052_2,2012
2,5,2012,12.6,28,2053,2,2053_2,2012
2,6,2012,15.5,56,1070,0,1070_0,2012
2,6,2012,12.73,26,2051,2,2051_2,2012
2,6,2012,12.75,12,2052,2,2052_2,2012
2,6,2012,12.6,32,2053,2,2053_2,2012
2,7,2012,15.5,56,1070,0,1070_0,2012
2,7,2012,12.73,18,2051,2,2051_2,2012
2,7,2012,12.75,18,2052,2,2052_2,2012
2,7,2012,12.6,30,2053,2,2053_2,2012
2,8,2012,15.5,60,1070,0,1070_0,2012
2,8,2012,12.73,20,2051,2,2051_2,2012
2,8,2012,12.75,16,2052,2,2052_2,2012
2,8,2012,12.6,30,2053,2,2053_2,2012
2,9,2012,15.5,88,1070,0,1070_0,2012
2,9,2012,12.73,28,2051,2,2051_2,2012
2,9,2012,12.75,16,2052,2,2052_2,2012
2,9,2012,12.6,42,2053,2,2053_2,2012
2,10,2012,15.5,90,1070,0,1070_0,2012
2,10,2012,12.73,26,2051,2,2051_2,2012
2,10,2012,12.75,20,2052,2,2052_2,2012
2,10,2012,12.6,44,2053,2,2053_2,2012
2,11,2012,15.5,76,1070,0,1070_0,2012
2,11,2012,12.73,26,2051,2,2051_2,2012
2,11,2012,12.75,14,2052,2,2052_2,2012
2,11,2012,12.6,40,2053,2,2053_2,2012
2,12,2012,15.5,72,1070,0,1070_0,2012
2,12,2012,12.73,26,2051,2,2051_2,2012
2,12,2012,12.75,16,2052,2,2052_2,2012
2,12,2012,12.6,34,2053,2,2053_2,2012
2,13,12,15.5,90,1070,0,1070_0,2012
2,13,12,12.73,30,2051,2,2051_2,2012
2,13,12,12.75,16,2052,2,2052_2,2012
2,13,12,12.6,46,2053,2,2053_2,2012
2,14,12,15.5,82,1070,0,1070_0,2012
2,14,12,12.73,32,2051,2,2051_2,2012
2,14,12,12.75,18,2052,2,2052_2,2012
2,14,12,12.6,44,2053,2,2053_2,2012
2,15,12,15.5,86,1070,0,1070_0,2012
2,15,12,12.73,30,2051,2,2051_2,2012
2,15,12,12.75,16,2052,2,2052_2,2012
2,15,12,12.6,48,2053,2,2053_2,2012
2,16,12,15.5,86,1070,0,1070_0,2012
2,16,12,12.73,32,2051,2,2051_2,2012
2,16,12,12.75,16,2052,2,2052_2,2012
2,16,12,12.6,42,2053,2,2053_2,2012
2,17,12,15.5,84,1070,0,1070_0,2012
2,17,12,12.73,26,2051,2,2051_2,2012
2,17,12,12.75,18,2052,2,2052_2,2012
2,17,12,12.6,42,2053,2,2053_2,2012
2,18,12,15.5,62,1070,0,1070_0,2012
2,18,12,12.73,18,2051,2,2051_2,2012
2,18,12,12.75,16,2052,2,2052_2,2012
2,18,12,12.6,30,2053,2,2053_2,2012
2,19,12,15.5,60,1070,0,1070_0,2012
2,19,12,12.73,26,2051,2,2051_2,2012
2,19,12,12.75,16,2052,2,2052_2,2012
2,19,12,12.6,28,2053,2,2053_2,2012
2,20,12,15.5,88,1070,0,1070_0,2012
2,20,12,12.73,26,2051,2,2051_2,2012
2,20,12,12.75,20,2052,2,2052_2,2012
2,20,12,12.6,44,2053,2,2053_2,2012
2,21,12,15.5,90,1070,0,1070_0,2012
2,21,12,12.73,26,2051,2,2051_2,2012
2,21,12,12.75,20,2052,2,2052_2,2012
2,21,12,12.6,44,2053,2,2053_2,2012
2,22,12,15.5,90,1070,0,1070_0,2012
2,22,12,12.73,30,2051,2,2051_2,2012
2,22,12,12.75,20,2052,2,2052_2,2012
2,22,12,12.6,44,2053,2,2053_2,2012
2,23,12,15.5,88,1070,0,1070_0,2012
2,23,12,12.73,30,2051,2,2051_2,2012
2,23,12,12.75,22,2052,2,2052_2,2012
2,23,12,12.6,46,2053,2,2053_2,2012
2,24,12,15.5,82,1070,0,1070_0,2012
2,24,12,12.73,28,2051,2,2051_2,2012
2,24,12,12.75,24,2052,2,2052_2,2012
2,24,12,12.6,46,2053,2,2053_2,2012
2,25,12,15.5,62,1070,0,1070_0,2012
2,25,12,12.73,22,2051,2,2051_2,2012
2,25,12,12.75,12,2052,2,2052_2,2012
